0,1,2,3,4,5,6,7,8,9
620,2200001043,HEXA CLIMATE SOLUTIONS PRIVATE LIMITED,SR,Wind,200,200,Anantapur-II PS,Andhra Pradesh 30-06-28,
621,2200000062,JUNIPER GREEN INDIA SIX PRIVATE LIMITED,NR,Solar,300,300,Bhadla-III,Rajasthan,30-06-28
622,2200000118,FRUGAL ENERGY PRIVATE LIMITED,NR,Solar,250,250,Bhadla-III,Rajasthan,30-06-28
623,2200000144,SERENTICA RENEWABLES INDIA PRIVATE LIMITED,NR,Solar,300,300,Bhadla-III,Rajasthan,30-06-28
624,2200001276,JUNIPER GREEN GEM PRIVATE LIMITED,WR,Solar,100,100,Dhule PS (Sec-I),Maharashtra,30-06-28
625,2200000034,SPRNG PAVANA URJA PRIVATE LIMITED,NR,Solar,150,150,"Fatehgarh-IV (Sec-
II)",Rajasthan,30-06-28
626,2200000379,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,200,200,"Jam Khambhaliya 
PS",Gujarat,30-06-28
627,2200000926,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,150,150,Lakadia-II (Sec-I),Gujarat,30-06-28
628,2200000428,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,300,300,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",30-06-28
629,2200001037,HEXA CLIMATE SOLUTIONS PRIVATE LIMITED,WR,Hybrid (RHGS),295,200,"Mandsaur PS 
(Sec-I)","Madhya 
Pradesh",30-06-28
630,2200000612,SPRNG WIND ENERGY PRIVATE LIMITED,WR,Solar,200,200,Raghanesda PS,Gujarat,30-06-28
631,2200000819,SPRNG VAYU VIDYUT PRIVATE LIMITED,WR,Wind,16.8,16,Rajgarh SS,"Madhya 
Pradesh",30-06-28
632,2200000192,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,NR,Solar,110,110,Bhadla-III,Rajasthan,01-07-28
633,2200000232,"GREEN INFRA CLEAN ENERGY GENERATION
LIMITED",NR,Solar,300,300,Bhadla-III,Rajasthan,01-07-28
634,2200000275,RENEW SOLAR (SHAKTI SIX) PRIVATE LIMITED,NR,Solar,400,400,Bhadla-III,Rajasthan,01-09-28
635,2200000266,MALUR RENEWABLES PRIVATE LIMITED,NR,Solar,650,650,Bhadla-III,Rajasthan,01-09-28
636,2200000300,SOLARCRAFT POWER INDIA 4 PRIVATE LIMITED,NR,Solar,50,50,Bhadla-III,Rajasthan,01-09-28
637,2200000309,RENEW SOLAR (SHAKTI SIX) PRIVATE LIMITED,NR,Solar,400,400,Bhadla-III,Rajasthan,01-09-28
638,2200000820,GREEN INFRA WIND ENERGY PRIVATE LIMITED,SR,Solar,300,300,Anantapur-II PS,Andhra Pradesh 30-09-28,
639,2200000159,GUJARAT INDUSTRIES POWER COMPANY LTD.,WR,Solar,2375,1775,KPS-2 (Sec-I),Gujarat,19-11-28
640,2200001156,MIYANI POWER INFRA LLP,WR,Wind,321.3,321,"Jam Khambhaliya 
PS",Gujarat,01-12-28
641,2200001155,MIYANI POWER INFRA LLP,WR,Wind,321.3,321,"Jam Khambhaliya 
PS",Gujarat,01-12-28
642,2200000674,IRIS RENEWABLES ALPHA TWO PRIVATE LIMITED,WR,Wind,300,300,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
643,2200000935,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,300,300,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
644,2200001069,TORRENT SAURYA URJA 2 PRIVATE LIMITED,WR,Hybrid (RHGS),1200,800,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
645,2200001132,DEVPUR RENEWABLES PRIVATE LIMITED,WR,Hybrid (RHGS),200,200,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
646,2200001133,ADITYA BIRLA RENEWABLES LIMITED,WR,Hybrid (RHGS),300,300,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
647,2200001159,TORRENT SAURYA URJA 2 PRIVATE LIMITED,WR,Hybrid (RHGS),300,200,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
648,2200001209,JUNIPER GREEN ENERGY PRIVATE LIMITED,WR,Wind,50,50,"Kalyanpur PS 
(Sec-I)",Gujarat,01-12-28
649,2200000360,PRERAK SOLAR URJA PRIVATE LIMITED,NR,Solar,400,400,Bhadla-III,Rajasthan,31-12-28
