application_id_enhancement_5_2_or_revision,application_date,name_of_developers,gna_st_ii_application_id,lta_application_id,voltage_level_kv,substation,state,region,nature_of_applicant,application_quantum_mw,cmets_gna_approved,cmets_gna_meeting_date,battery_injection_mw,installed_breakup_solar_mw,installed_breakup_wind_mw,type,date_for_additional_capacity,status_of_application,granted_quantum_mw,gna_operationalization_date,gna_operationalization_yes_no,installed_breakup_hybrid_mw,_partial_row,applied_start_date,ats_element_unique_code,dtl_element_unique_code,cts_element_unique_code,mode_criteria,_explicit_type_breakup,_capacity_headline_total
2200002123,05.06.2025,Juniper Green Cosmic Private Limited,1200003740,412100008,220.0,Bikaner-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",100.0,42.0,11.11.2025,16.0,100.0,,Solar+BESS,31.12.2025,Granted,100.0,31.12.2025,Yes,,,,,,,,,
2200002125,05.06.2025,Juniper Green Stellar Private Limited,1200003827,412100010,220.0,Fatehgarh-IV,Rajasthan,NR,"Generating station(s), including REGS(s), with ESS",150.0,42.0,11.11.2025,28.75,,,Hybrid+BESS,30.04.2026,Granted,150.0,30.04.2026,No,,,,,,,,,
2200002125,,Juniper Green Stellar Private Limited,1200003910,412100010,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002125,,Juniper Green Stellar Private Limited,1200003958,412100010,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002125,,Juniper Green Stellar Private Limited,312100010,412100010,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002125,,Juniper Green Stellar Private Limited,312100012,412100010,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002126,05.06.2025,Juniper Green Stellar Private Limited,312100010,412100011,220.0,Fatehgarh-IV,Rajasthan,NR,"(Generating station(s), including REGS(s), with ESS",65.0,42.0,11.11.2025,17.5,65.0,,Solar+BESS,30.04.2026,Granted,65.0,30.06.2026,No,,,,,,,,,
2200002126,,Juniper Green Stellar Private Limited,312100012,412100011,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002127,05.06.2025,Juniper Green Stellar Private Limited,1200003827,412100009,220.0,Fatehgarh-IV,Rajasthan,NR,"Generating station(s), including REGS(s), with ESS",150.0,42.0,11.11.2025,11.25,,,Hybrid+BESS,31.03.2026,Granted,150.0,31.03.2026,No,,,,,,,,,
2200002127,,Juniper Green Stellar Private Limited,1200003910,412100009,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002127,,Juniper Green Stellar Private Limited,1200003958,412100009,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002127,,Juniper Green Stellar Private Limited,312100010,412100009,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002127,,Juniper Green Stellar Private Limited,312100012,412100009,220.0,Fatehgarh-IV,Rajasthan,NR,,,42.0,,,,,,,Granted,,,,,True,,,,,,,
2200002140,11.06.2025,Enren-I Energy Private Limited,2200000286,,220.0,Barmer-I,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,150.0,300.0,,Solar+BESS,28.02.2026,Granted,300.0,31.03.2027,No,,,,,,,,,
2200002249,15.07.2025,Serentica Renewables India Private Limited,212100034,,,Fatehgarh-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,,300.0,200.0,Hybrid,30.06.2028,Withdrawn,300.0,,,,,,,,,,,
2200002250,15.07.2025,Serentica Renewables India Private Limited,212100036,,,Fatehgarh-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,,300.0,200.0,Hybrid,30.06.2028,Withdrawn,300.0,,,,,,,,,,,
2200002251,15.07.2025,Serentica Renewables India Private Limited,2200000020,,,Fatehgarh-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,,300.0,200.0,Hybrid,30.06.2028,Withdrawn,300.0,,,,,,,,,,,
2200002280,22.07.2025,ACME Heergarh Powertech Private Limited,1200002471,,220.0,Bhadla-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,300.0,300.0,,Solar+BESS,01.01.2027,Granted,300.0,31.03.2027,No,,,,,,,,,
2200002294,30.07.2025,AM Green Energy Private Limited,2200000319,,220.0,Bikaner-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,125.0,300.0,,Solar+BESS,31.12.2027,Granted,300.0,31.12.2027,No,,,,,,,,,
2200002307,01-08-2025,Khaba Renewable Energy Private Limited,1200003502,,220.0,Fatehgarh-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",250.0,42.0,11.11.2025,150.0,250.0,,Solar+BESS,31.12.2026,Granted,250.0,31.12.2026,No,,,,,,,,,
2200002312,05-08-2025,Litsolaire Energy Private Limited,1200003983,,220.0,Bikaner-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",100.0,42.0,11.11.2025,50.0,,,BESS,31.12.2026,Granted,100.0,31.12.2026,No,,,,,,,,,
2200002316,05-08-2025,Luceo Solar Private Limited,212100032,,220.0,Fatehgarh-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",200.0,42.0,11.11.2025,150.0,200.0,,Solar+BESS,30.06.2027,Granted,200.0,30.06.2027,No,,,,,,,,,
2200002332,14-08-2025,ACME Solar Holdings Limited,1200003683,1200003829,,Bikaner-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,190.0,300.0,,Solar+BESS,31.12.2026,Granted,300.0,,,,,,,,,,,
2200002330,18-08-2025,Avaada RJBikaner Private Limited,2200000254,,,Bikaner-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",600.0,42.0,11.11.2025,590.0,600.0,,Solar+BESS,30.06.2027,Granted,600.0,30.06.2027,No,,,,,,,,,
2200002345,21-08-2025,Solarcraft Power India 4 Private Limited,2200001749,,220.0,Bhadla-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",50.0,42.0,11.11.2025,50.0,50.0,,Solar+BESS,20.07.2029,Granted,50.0,20.07.2029,No,,,,,,,,,
2200002358,27-08-2025,Juniper Green Stellar Private Limited,2200000063,,220.0,Fatehgarh-IV,Rajasthan,NR,Renewable Power Park developer,300.0,42.0,11.11.2025,150.0,300.0,170.0,Hybrid+BESS,31.12.2027,Granted,300.0,31.12.2027,No,,,,,,,,,
2200002376,31-08-2025,Solarcraft Power India 4 Private Limited,2200000152,,220.0,Bhadla-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",150.0,42.0,11.11.2025,150.0,150.0,,Solar+BESS,31.03.2028,Granted,150.0,31.03.2028,No,,,,,,,,,
2200002378,02-09-2025,Solarcraft Power India 17 Private Limited,2200000210,,220.0,Bikaner-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",300.0,42.0,11.11.2025,300.0,300.0,,Solar+BESS,31.03.2028,Granted,300.0,31.03.2028,No,,,,,,,,,
2200002382,03-09-2025,Altra Xergi Power Private Limited,1200002637,1200002639,,Fatehgarh-III,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",380.0,42.0,11.11.2025,380.0,290.0,,Solar+BESS,31.03.2027,Withdrawn,380.0,,,,,,,,,,,
2200002392,05-09-2025,Vismaya Five Renewables Private Limited,2200000954,,220.0,Barmer-II,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",250.0,42.0,11.11.2025,150.0,250.0,,Solar+BESS,31.12.2031,Granted,250.0,31.12.2030,No,,,,,,,,,
2200002394,05-09-2025,Vismaya Four Renewables Private Limited,2200000910,,,Bhadla-IV,Rajasthan,NR,"Generating station(s), including REGS(s), without ESS",250.0,42.0,11.11.2025,240.0,250.0,,Solar+BESS,01.10.2031,Granted,250.0,,,,,,,,,,,
,,Soltown Infra Private Limited,1200003889,,220.0,Bikaner-II,Rajasthan,NR,,200.0,34.0,20.09.2024,,,,,,Granted,200.0,31-12-2025,Yes,,,31-12-2025,,EL-3D895,"EL-328D7, EL-B075D, EL-B9081, EL-0A37C, EL-C2590, EL-91E7F, EL-59315, EL-2453D, EL-63999, EL-BAF24, EL-C1184, EL-CBFD4",,,
,,Soltown Infra Private Limited,212100007,,220.0,Bikaner-II,Rajasthan,NR,,350.0,34.0,20.09.2024,,,,,,Granted,350.0,22.08.2026,No,,,31-10-2025,,EL-3D895,"EL-328D7, EL-B075D, EL-B9081, EL-0A37C, EL-C2590, EL-91E7F, EL-59315, EL-2453D, EL-63999, EL-BAF24, EL-C1184, EL-CBFD4",,,
,,Soltown Infra Private Limited,212100008,,220.0,Bikaner-II,Rajasthan,NR,,125.0,34.0,20.09.2024,,,,,,Granted,125.0,22.08.2026,No,,,31-12-2025,,EL-3D895,"EL-328D7, EL-B075D, EL-B9081, EL-0A37C, EL-C2590, EL-91E7F, EL-59315, EL-2453D, EL-63999, EL-BAF24, EL-C1184, EL-CBFD4",,,
,07.05.2024,ACME Solar Holdings Limited (erstwhile ACME Solar Holdings,2200000788,,,Sirohi-I,Rajasthan,NR,Generator,300.0,34.0,20.09.2024,,300.0,,Solar,,Withdrawn,0.0,,,,,31.03.2027,,,,Land BG Route,,
,10.05.2024,SAEL Industries Limited,2200000793,,,Sirohi-I,Rajasthan,NR,Generator,300.0,34.0,20.09.2024,,300.0,,Solar,,Withdrawn,0.0,,,,,30.05.2026,,,,Land BG Route,,
,10.05.2024,SAEL Industries Limited,2200000794,,,Sirohi-I,Rajasthan,NR,Generator,300.0,34.0,20.09.2024,,300.0,,Solar,,Withdrawn,0.0,,,,,30.05.2026,,,,Land BG Route,,
,20.05.2024,Amplus Centaur Solar Private Limited,2200000827,,220.0,Sirohi-II,Rajasthan,NR,Generator,350.0,34.0,20.09.2024,,350.0,,Solar,,Granted,350.0,30.09.2030,No,,,30.04.2027,,EL-64346,"EL-61138, EL-C8E53, EL-A2220, EL-57662, EL-C5217, EL-0FE43, EL-141F6",Land BG Route,,
,31.05.2024,ACME Solar Holdings Limited (erstwhile ACME Solar Holdings Private Limited),2200000841,,,Merta-II,Rajasthan,NR,Generator,100.0,34.0,20.09.2024,,100.0,,Solar,,Withdrawn,0.0,,,,,31.03.2027,,,"EL-61138, EL-C8E53, EL-A2220, EL-57662, EL-C5217, EL-0FE43, EL-141F6",Land BG Route,,
,31.05.2024,Serentica Renewables India Private Limited,2200000891,,,Rishabhdeo-I,Rajasthan,NR,Generator,400.0,34.0,20.09.2024,,400.0,,Solar,,Withdrawn,0.0,,,,,30.06.2026,,,,Land BG Route,,
,31.05.2024,Enren-III Energy Private Limited,2200000860,,220.0,Merta-III,Rajasthan,NR,Generator,300.0,34.0,20.09.2024,,300.0,,Solar,,Granted,300.0,31.03.2031,No,,,31.01.2027,,EL-41D01,"EL-2D6F0, EL-F1D12, EL-F1C33, EL-5EA00, EL-C89B9, EL-F8BB6, EL-C5217, EL-DB837, EL-141F6",Land BG Route,,
,31.05.2024,Sindhari Solar Power Private Limited,2200000894,,,Merta-III,Rajasthan,NR,Renewable Power Park developer,300.0,34.0,20.09.2024,,300.0,,Solar,,Withdrawn,0.0,,,,,30.06.2027,,,"EL-2D6F0, EL-F1D12, EL-F1C33, EL-5EA00, EL-C89B9, EL-F8BB6, EL-C5217, EL-DB837, EL-141F6",Land BG Route,,
,04.06.2024,Prespa Solar Private Limited,2200000832,,220.0,Merta-III,Rajasthan,NR,Renewable Power Park developer,250.0,34.0,20.09.2024,,250.0,,Solar,,Granted,250.0,31.03.2031,No,,,31.12.2026,,EL-12429,"EL-2D6F0, EL-F1D12, EL-F1C33, EL-5EA00, EL-C89B9, EL-F8BB6, EL-C5217, EL-DB837, EL-141F6",Land BG Route,,
,05.07.2024,Sunsure Solarpark RJ One Private Limited,2200001021,,220.0,Bikaner-V,Rajasthan,NR,Generator,350.0,34.0,20.09.2024,,350.0,,Solar,,Granted,350.0,31.03.2030,No,,,31.03.2029,,EL-15D03,"EL-33D77, EL-207DF, EL-85255, EL-26318, EL-83F06, EL-B8D32, EL-23675, EL-9893C, EL-745F8, EL-A346C, EL-905E4",Land BG Route,,
