sl_no,state,region,pooling_ss,additional_information_of_pooling_ss,timelines,re_potential_mw,bess_mw,ss_evacuation_capacity_mw,expected_cod_of_pooling_station,connectivity_granted_1_200kv_mw,connectivity_granted_1_400kv_mw,connectivity_granted_1_total_mw,connectivity_granted_2_200kv_mw,connectivity_granted_2_400kv_mw,connectivity_granted_2_total_mw,margin_for_connectivity_200kv_mw,margin_for_connectivity_400kv_mw,margin_for_connectivity_total_mw,additional_margin_200kv_mw,additional_margin_400kv_mw,additional_margin_total_mw,effectiveness_of_gna,remarks
1,Rajasthan,NR,Bhadla Complex,,Existing,8430.0,0.0,8430.0,Existing,7475.0,2050.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"5251.375MW: Existing
4273.625MW: Nov'25 onwards (Ph-II/Ph-III/Ph-IV) (upto Mar'27)",
1a,Rajasthan,NR,Bhadla,,Existing,3380.0,0.0,3380.0,Existing,3580.0,0.0,3580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580MW: Existing,
1b,Rajasthan,NR,Bhadla-II,,Existing,5050.0,0.0,5050.0,Existing,3895.0,2050.0,5945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1671.375MW: Existing
4273.625MW: Nov'25 onwards (Ph-II/Ph-III/Ph-IV) (upto Mar'27)",
2,Rajasthan,NR,"Fatehgarh-Barmer  
Complex",,Existing,9600.0,0.0,9600.0,Existing,6940.0,3200.0,10140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"7225.83MW: Existing
2914.17MW: Nov'25 onwards (Ph-II/Ph-III/Ph-IV) (upto Mar'27)",
2a,Rajasthan,NR,Fatehgarh,,Existing,2200.0,0.0,2200.0,Existing,0.0,2200.0,2200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Existing Tr. System,
2b,Rajasthan,NR,Fatehgarh-II,,Existing,5500.0,0.0,5500.0,Existing,4460.0,1000.0,5460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3525.83MW: Existing
1934.17MW: Nov'25 onwards (Ph-II/Ph-III/Ph-IV) (upto Mar'27)",
2c,Rajasthan,NR,Fatehgarh-III,Section-I,Existing,1900.0,0.0,1900.0,Existing,2480.0,0.0,2480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1500MW: Existing
480MW: Nov'25 (Ph-II)
Including 2x250MW BESS granted at Fatehgarh-III (Section-I)
250MW: Existing
250MW: Mar'26",
3,Rajasthan,NR,Bikaner Complex,,Existing,8850.0,3000.0,5850.0,Existing,5695.0,3940.0,9635.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,"2865MW: Existing 
3360MW: Nov'25 onwards (Ph-II/Ph-IV/Ph-V) (upto Mar'27)",
3a,Rajasthan,NR,Bikaner,,Existing,1850.0,0.0,1850.0,Existing,1235.0,2940.0,4175.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,"2865MW: Existing
1360MW:  Nov'25 onwards (Ph-II/Ph-IV/Ph-V) (Upto Mar'27)",
3b,Rajasthan,NR,Bikaner-II,,Existing,7000.0,3000.0,4000.0,Existing,4460.0,1000.0,5460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5760MW:Nov'25 onwards (Upto Aug'26) (Ph-II/Ph-IV Part-I&II),
