state,name_of_station,capacity_mva,capacity_allocated_mw,margin_existing_220kv,margin_existing_400kv,line_bays_existing_220kv,line_bays_existing_400kv,margin_ict_220kv,margin_ict_400kv,line_bays_ict_220kv,line_bays_ict_400kv,transformers_required,remarks
,Navinal (GIS) 765/400kV,"6x1500MVA, 765/400kV",1100,0,0,2,1,0,0,0,0,0,"Applications beyond 300MW require additional System 
and are under deliberation"
,"Halvad/Surendranagar 
area",,1350,,,,,,,,,,"Applications for 820MW received in Halvad area & 
530MW received in Surendranagar area which are under 
deliberations."
Maharashtra,"Aurangabad 
765/400/220kV","2x1500MVA, 765/400kV 
2x315MVA, 400/220kV",0,0,0,0,0,0,0,0,0,0,Overloading in 220kV downstream network.
Maharashtra,Kolhapur 400kV,400kV Switching Station,0,0,0,0,0,0,0,1,0,0,"Overloading observed in 400kV Kolhapur (PG)- 
Kolhapur(MSETCL) D/c line."
Maharashtra,Parli (PG) 400/220kV,"2x500MVA, 400/220kV",300,0,0,0,0,0,0,0,0,0,"300MW capacity has been allocated at Parli (PG) S/s. 
Overloading in 220kV downstream & Parli  400kV 
network."
Madhya Pradesh,Khandwa 400/220kV,"2x315+1x500MVA, 400/220kV",300,0,0,0,0,0,0,0,0,0,"300MW Stage-II connectivity & 300MW LTA from Masaya 
Solar at Khandwa has also been granted.
Overloading in 220kV downstream network."
Madhya Pradesh,Indore 765/400/220kV,"2x500MVA, 400/220kV + (1x500MVA 
with sectionalisation at 220kV for RE 
injection)",1224.4,150.6,100,1,1,0,0,0,,0,"324.4MW LTA has been granted on 1x500MVA with 
sectionalisation at 220kV for RE injection & 900 MW 
(600+150+150) has been granted on 400kV bay."
Madhya Pradesh,Jabalpur PS 765/400,2x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading.
Madhya Pradesh,Rajgarh 400/220kV,"2x315MVA, 400/220kV+ (2x500MVA 
with sectionalisation at 220kV for RE 
injection)",892,356,0,3,0,0,0,0,0,2,"Margins at 220kV bay of Srpng: 298.24MW has been 
granted / agreed for grant to M/s Sprng. Overloading in 
220kV downstream network.
Margins at 400/220kV ICT-III& IV: 593.6MW has been 
granted/agreed at extended 220kV bus of Rajgarh S/s  
through addl. 400/220kV, 500MVA ICT(s) for RE injection."
Madhya Pradesh,Karera 765/400/220kV,"2x1500 MVA, 765/400 kV, 2x500 MVA, 
400/220 kV S/s",700,0,0,0,0,0,0,,,,
Madhya Pradesh,Sidhi area,No ISTS Substation exists near Sidhi,300,0,0,0,0,0,0,,,,"Application received for 300MW (requested through LILO 
of Vindhyachal - Satna line). Studies are underway."
Madhya Pradesh,"Dharamjaygarh 
765/400kV",2x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues
Madhya Pradesh,Champa 765/400kV,6x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues
Madhya Pradesh,Bilaspur PS 765/400kV,3x1500MVA 765/400kV,0,0,0,,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues
