state,name_of_station,capacity_mva,capacity_allocated_mw,margin_existing_220kv,margin_existing_400kv,line_bays_220kv,line_bays_400kv,margin_with_ict_220kv,margin_with_ict_400kv,line_bays_with_ict_220kv,line_bays_with_ict_400kv,no_of_transformers_required,remarks,region
Gujarat,Navinal,"6x1500MVA, 765/400kV",1100,0,0,2,1,0,0,0,0,0,"Applications beyond 300MW require additional System 
and are under deliberation",WR
Gujarat,Halvad/Surendranagar area,,1350,,,,,,,,,,"Applications for 820MW received in Halvad area & 
530MW received in Surendranagar area which are under 
deliberations.",WR
Maharashtra,Aurangabad,"2x1500MVA, 765/400kV 
2x315MVA, 400/220kV",0,0,0,0,0,0,0,0,0,0,Overloading in 220kV downstream network.,WR
Maharashtra,Kolhapur,400kV Switching Station,0,0,0,0,0,0,0,1,0,0,"Overloading observed in 400kV Kolhapur (PG)- 
Kolhapur(MSETCL) D/c line.",WR
Maharashtra,Parli,"2x500MVA, 400/220kV",300,0,0,0,0,0,0,0,0,0,"300MW capacity has been allocated at Parli (PG) S/s. 
Overloading in 220kV downstream & Parli  400kV 
network.",WR
Madhya Pradesh,Khandwa,"2x315+1x500MVA, 400/220kV",300,0,0,0,0,0,0,0,0,0,"300MW Stage-II connectivity & 300MW LTA from Masaya 
Solar at Khandwa has also been granted.
Overloading in 220kV downstream network.",WR
Madhya Pradesh,Indore,"2x500MVA, 400/220kV + (1x500MVA 
with sectionalisation at 220kV for RE 
injection)",1224.4,150.6,100,1,1,0,0,0,,0,"324.4MW LTA has been granted on 1x500MVA with 
sectionalisation at 220kV for RE injection & 900 MW 
(600+150+150) has been granted on 400kV bay.",WR
Madhya Pradesh,Jabalpur PS,2x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading.,WR
Madhya Pradesh,Rajgarh,"2x315MVA, 400/220kV+ (2x500MVA 
with sectionalisation at 220kV for RE 
injection)",892,356,0,3,0,0,0,0,0,2,"Margins at 220kV bay of Srpng: 298.24MW has been 
granted / agreed for grant to M/s Sprng. Overloading in 
220kV downstream network.
Margins at 400/220kV ICT-III& IV: 593.6MW has been 
granted/agreed at extended 220kV bus of Rajgarh S/s  
through addl. 400/220kV, 500MVA ICT(s) for RE injection.",WR
Madhya Pradesh,Karera,"2x1500 MVA, 765/400 kV, 2x500 MVA, 
400/220 kV S/s",700,0,0,0,0,0,0,,,,,WR
Madhya Pradesh,Sidhi area,No ISTS Substation exists near Sidhi,300,0,0,0,0,0,0,,,,"Application received for 300MW (requested through LILO 
of Vindhyachal - Satna line). Studies are underway.",WR
Chhattisgarh,Dharamjaygarh,2x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues,WR
Chhattisgarh,Champa,6x1500MVA 765/400kV,0,0,0,0,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues,WR
Chhattisgarh,Bilaspur PS,3x1500MVA 765/400kV,0,0,0,,0,0,0,0,0,0,765/400kV ICT overloading / Fault level issues,WR
Andhra Pradesh,Kurnool,"2X1500 MVA, 765/400 kV",2714,0,0,,1,0,250,,0,1,,SR
Karnataka,Hiriyur,"2x315 MVA, 400/220 kV + 1x500 MVA, 
400/220 kV",600.3,0,0,0,,0,0,,0,0,,SR
Kerala,Palakkad (400/220kV),"2x315 MVA, 400/220 kV + 1x500 MVA, 
400/220 kV",0,300,0,2,0,0,0,2,0,0,,SR
Tamil Nadu,Pugalur,"2X315 MVA + 1X500 MVA, 400/230 kV",655,0,0,,,0,0,,,0,"Pugalur(Existing) has been closed for all purpose regarding 
grant of Connectivity.",SR
Tamil Nadu,Malekottaiyur(Kalivenda pattu),"2X315 MVA + 1X500 MVA, 400/230 kV",NIL,500,0,2,,0,0,,0,0,,SR
Tamil Nadu,Nagapattinam PS,Charged at 400 kV,NIL,0,1000,,2,0,0,,0,0,,SR
Tamil Nadu,NLC TS-II,2x250+1x315,160,0,0,0,,,,,,,Overloading at 230 kV network,SR
Rajasthan,Chittorgarh,765/400kV : 2x1500MVA,NIL,0,0,0,0,0,0,0,0,0,,NR
Rajasthan,Ajmer,765/400kV : 2x1500MVA,NIL,0,0,0,0,0,0,0,0,0,,NR
Rajasthan,Bassi,400/220 kV : 2x315MVA +1x500MVA,NIL,0,0,0,0,0,,,,0,220kV overloading,NR
Rajasthan,Bhiwadi,400/220 kV : 3x315MVA,NIL,0,0,0,0,0,,,,0,220kV overloading,NR
Rajasthan,Kankroli,400/220 kV : 3x315MVA,NIL,0,0,0,0,0,,,,0,220kV overloading,NR
Rajasthan,Kota,400/220 kV : 2x315MVA,NIL,0,0,0,0,0,,,,0,220kV overloading,NR
Rajasthan,Bhinmal,"400/220 kV : 2x315MVA+1x315 MVA 
UC",NIL,0,0,0,0,0,0,0,0,0,220kV overloading,NR
Rajasthan,Neemarana,400/220 kV : 1x315MVA +1x500MVA,NIL,0,0,0,0,0,0,0,0,0,220kV overloading,NR
Rajasthan,Sikar,400/220 kV : 2x315MVA +1x500MVA,NIL,0,0,0,0,0,,,,0,220kV overloading,NR
Rajasthan,Jaipur,400/220 kV : 2x500MVA,NIL,0,0,0,0,0,0,0,0,0,,NR
Rajasthan,Kotputli,"400/220 kV : 2x315MVA+1X500MVA 
(Planned)",NIL,0,0,0,0,0,0,0,0,0,,NR
