page,source_table,region,state,district,complex,s_s,location_village_tehsil,solar,wind,hybrid,others_ctuil,re_potential_gw,installed_capacity,uc_granted_capacity,transmission_scheme,complex_2,remarks
10,5,,,Bikaner,,,Bikaner,1.85,,,,,,,,,
10,5,,,Bikaner,,,Bikaner,2.95,,,,,,,,,
10,5,,,Kurnool,,,Kurnool,5.5,,,,,,,,,
10,5,,,Anantapur,,,Anantapur,2.5,,,,,,,,,
10,5,,,Gadag,,,Gadag,2.5,,,,,,,,,
10,5,,,Koppal,,,Koppal,2.5,,,,,,,,,
13,11,,Rajasthan,,,,,15.0,1.0,,,60.0,,,,,45 GW   (15 GW Wind & 30  GW solar in GIB  Zone)
13,11,,Andhra Pradesh,,,,,18.0,2.0,,,33.0,,,,,
13,11,,Karnataka,,,,,8.0,3.0,,,9.0,,,,,
13,11,,Tamil Nadu,,,,,5.0,4.0,,,5.0,,,,,Offshore wind
13,11,,Telangana,,,,,3.0,5.0,,,10.0,,,,,
13,11,,Madhya Pradesh,,,,,2.0,6.0,,,6.0,,,,,
13,11,,Gujarat,,,,,5.0,7.0,,,5.0,,,,,Offshore wind
13,11,,Maharashtra,,,,,2.0,8.0,,,5.5,,,,,
14,13,,Rajasthan,,,,,30.0,75.0,,,,,,,,
14,13,,Andhra Pradesh,,,,,10.0,51.0,,,10.0,,,,,
14,13,,Karnataka,,,,,2.0,17.0,,,2.0,,,,,
14,13,,Tamil Nadu,,,,,5.0,5.0,,,,,,,,
14,13,,Telangana,,,,,1.0,13.0,,,2.5,,,,,
14,13,,Madhya Pradesh,,,,,2.0,8.0,,,,,,,,
14,13,,Gujarat,,,,,5.0,5.0,,,,,,,,
14,13,,Maharashtra,,,,,1.0,7.5,,,1.0,,,,,
16,16,,Rajasthan,,,,,60.0,15.0,,,67.5,,,,,
21,18,,Gujarat,,,,,,,,,,,,,,
21,18,,Maharashtra,,,,,,,,,,,,,,
21,18,,Maharashtra,,,,,5.5,2.0,,,6.5,,,,,5.4
21,18,,Madhya Pradesh,,,,,,,,,,,,,,
21,18,,Madhya Pradesh,,,,,6.0,2.0,,,8.0,,,,,
26,24,,Andhra Pradesh,,,,,,,,,,,,,,
