page,source_table_id,raw_data,region,state,district,complex,s_s,location_village_tehsil,solar,wind,hybrid,others_ctuil,re_potential_gw,installed_capacity,uc_granted_capacity,transmission_scheme,complex_2,remarks
10,5,"['Kurnool\n5.5', '']",,,,,,,,,,,,,,,,
10,5,"['Anantapur\n2.5', '']",,,,,,,,,,,,,,,,
13,11,"['1', 'Rajasthan', '15', '60', '75', '45 GW  \n(15 GW Wind & 30 \nGW solar in GIB \nZone)']",,,,,,,,,,,,,,,,
13,11,"['2', 'Andhra Pradesh', '18', '33', '51', '']",,,,,,,,,,,,,,,,
13,11,"['3', 'Karnataka', '8', '9', '17', '']",,,,,,,,,,,,,,,,
13,11,"['4', 'Tamil Nadu', '5', '', '5', 'Offshore wind']",,,,,,,,,,,,,,,,
13,11,"['5', 'Telangana', '3', '10', '13', '']",,,,,,,,,,,,,,,,
14,13,"['Rajasthan  \n(75 GW)', 'Sanchore, Sirohi, Jalor, Pali, Ajmer, Bikaner, Nagaur', '', '30']",,,,,,,,,,,,,,,,
14,13,"['Andhra Pradesh  \n(51 GW)', 'Anantapur', '10', '10']",,,,,,,,,,,,,,,,
14,13,"['', 'Kurnool', '8', '8']",,,,,,,,,,,,,,,,
14,13,"['', 'Kurnool', '', '7']",,,,,,,,,,,,,,,,
14,13,"['Karnataka  \n(17 GW)', 'Koppal', '2', '2']",,,,,,,,,,,,,,,,
14,13,"['Tamil Nadu (5 GW)', 'off-shore', '5', '']",,,,,,,,,,,,,,,,
14,13,"['Telangana  \n(13 GW)', 'Rangareddy', '1', '2.5']",,,,,,,,,,,,,,,,
15,14,"['Rajasthan', '6', '13', '5', '20', '4', '27', '15', '60']",,,,,,,,,,,,,,,,
15,14,"['Andhra Pradesh', '4', '8', '7', '11.5', '7', '13.5', '18', '33']",,,,,,,,,,,,,,,,
15,14,"['Telangana', '3', '2', '0', '7.5', '0', '0.5', '3', '10']",,,,,,,,,,,,,,,,
15,14,"['Karnataka', '7', '6', '1', '3', '0', '0', '8', '9']",,,,,,,,,,,,,,,,
15,14,"['Tamil Nadu  \n(off-shore wind)', '', '', '2', '', '3', '', '5', '0']",,,,,,,,,,,,,,,,
16,16,"['Sub Total (Rajasthan)', '', '15', '60', '67.5', '22.5', '45']",,,,,,,,,,,,,,,,
26,24,"['Anantapur', 'Anantapur, \nAnantapur-II', '10', '10', '15', '5', '10']",,,,,,,,,,,,,,,,
26,24,"['Kurnool', 'Kurnool-IV, \nKurnool-V', '8', '15', '18', '6', '12']",,,,,,,,,,,,,,,,
26,24,"['Sub Total (Andhra Pradesh)', '', '18', '33', '41', '14', '27']",,,,,,,,,,,,,,,,
26,24,"['Sub Total (Karnataka)', '', '8', '9', '14', '3', '11']",,,,,,,,,,,,,,,,
26,24,"['Sub Total (Telangana)', '', '3', '10', '11.5', '3', '8.5']",,,,,,,,,,,,,,,,
27,25,"['Kurnool', 'Kurnool-IV, \nKurnool-V', '8', '15', '18', '6', '12']",,,,,,,,,,,,,,,,
27,25,"['Anantapur', 'Anantapur, \nAnantapur-II', '10', '10', '15', '5', '10']",,,,,,,,,,,,,,,,
27,25,"['Sub Total (Andhra Pradesh)', '', '18', '33', '41', '14', '27']",,,,,,,,,,,,,,,,
29,27,"['Sub Total (Karnataka)', '', '8', '9', '14', '3', '11']",,,,,,,,,,,,,,,,
31,29,"['Sub Total (Telangana)', '', '3', '10', '11.5', '3', '8.5']",,,,,,,,,,,,,,,,
38,37,"['2.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part A', 'Establishment of 400/220 kV, 4x500 MVA  Fatehgarh-III PS']",,,,,,,,,,,,,,,,
38,37,"['3.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part A1', 'Augmentation  by  765/400  kV,  1500  MVA \nICT \n(5th)  at \nFatehgarh-II PS']",,,,,,,,,,,,,,,,
38,37,"['4.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part B', 'Fatehgarh-II PS – Bhadla-II PS 765 kV D/c line (2nd)']",,,,,,,,,,,,,,,,
38,37,"['5.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part B1', 'Augmentation  by  765/400  kV,  1500  MVA \nICT \n(6th)  at \nFatehgarh-II PS']",,,,,,,,,,,,,,,,
38,37,"['6.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part C', 'Establishment of 765/400 kV, 2x1500 MVA  Sikar – II']",,,,,,,,,,,,,,,,
38,37,"['7.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part D', 'Sikar-II  –  Aligarh  765  kV  D/c  line  along  with  1x330  MVAr \nswitchable line reactor for each circuit at each end of Sikar-II \n– Aligarh 765 kV D/c line']",,,,,,,,,,,,,,,,
38,37,"['8.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part F', 'Establishment of 400 kV Switching Station at Bikaner –II PS']",,,,,,,,,,,,,,,,
39,38,"['9.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part F1', 'Removal of LILO of one circuit of Bhadla-Bikaner (RVPN) 400 \nkV  D/c(Quad)  line  at  Bikaner  (PG).  Extension  of  above  LILO \nsection from Bikaner(PG) up to Bikaner-II PS to form Bikaner-II \nPS – Bikaner (PG) 400 kV D/c(Quad) line']",,,,,,,,,,,,,,,,
39,38,"['10.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part G', 'Establishment of 765/400 kV, 3x1500 MVA GIS substation at \nNarela']",,,,,,,,,,,,,,,,
39,38,"['11.', 'Transmission  Scheme  for  evacuation  of  power  from \nSolar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) \nunder Phase-II-Part G1', 'Removal  of  LILO  of  Bawana  –  Mandola  400  kV  D/c  (Quad) \nline at Maharani Bagh /Gopalpur S/s. Extension of above LILO \nsection  from  Maharani  Bagh  /  Gopalpur  upto  Narela  S/s  so \nas  to  form  Maharanibagh  –  Narela  400  kV  D/c  (Quad)  and \nMaharanibagh - Gopalpur - Narela 400 kV D/c (Quad) lines']",,,,,,,,,,,,,,,,
39,38,"['13.', 'Evacuation of power from RE sources in Koppal Wind \nEnergy Zone (Karnataka) (2500MW)', 'Establishment  of  400/220  kV,  5x500  MVA  Koppal  Pooling \nStation']",,,,,,,,,,,,,,,,
39,38,"['17.', 'Transmission  Scheme  for  Evacuation  of  power  from \nRE sources in Karur/Tirrupur Wind Energy Zone (Tamil \nNadu) (1000 MW)- Phase I', 'Establishment of 2x500 MVA, 400/230 kV Karur PS']",,,,,,,,,,,,,,,,
40,39,"['1.', 'Transmission  Scheme  for  evacuation  of  power  from  Solar \nEnergy Zones (SEZs) in Rajasthan (8.1 GW) under Phase-II-\nPart E', 'Bhadla-II PS – Sikar-II 765 kV D/c line (2nd)']",,,,,,,,,,,,,,,,
40,40,"['1.', 'Transmission scheme for Solar Energy Zone in \nAnantapur (Anantapur) (2500 MW) and Kurnool \n(1000 MW), Andhra Pradesh', 'Establishment of 400/220 kV, 7x500 MVA pooling station at \nsuitable border location between Anantapur & Kurnool Distt']",,,,,,,,,,,,,,,,
40,40,"['', '', 'Anantapur PS-Kurnool-III PS 400 kV D/c line']",,,,,,,,,,,,,,,,
40,40,"['', '', 'Anantapur PS-Cuddapah 400 kV D/c Line']",,,,,,,,,,,,,,,,
40,40,"['3.', 'Transmission Scheme for evacuation of power from \nRE sources in Kurnool Wind Energy Zone (3000 MW)/\nSolar Energy Zone (AP) (1500MW) - Part-A & B', 'Establishment of 765/400/220 kV 3x1500 MVA, 9x500 MVA \nPooling station at suitable location in Kurnool Distt (Kurnool-\nIII)']",,,,,,,,,,,,,,,,
40,40,"['', '', 'Kurnool –III PS – Kurnool (New) 765 kV  D/c line']",,,,,,,,,,,,,,,,
40,40,"['', '', 'Kurnool –III PS – Maheshwaram (PG) 765 kV  D/c Line']",,,,,,,,,,,,,,,,
42,43,"['1.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part A1', 'Establishment of 2x500 MVA, 400/220 kV pooling station at \nFatehgarh-IV']",,,,,,,,,,,,,,,,
42,43,"['2.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part A3', 'Fatehgarh-III- Bhadla-III 400 kV D/c line along with 50 MVAr \nSwitchable \nline \nreactor \nfor  each  circuit  at  both  ends  of \nFatehgarh-III- Bhadla-III 400 kV D/c line']",,,,,,,,,,,,,,,,
42,43,"['3.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part B1', 'Establishment  of  2x1500  MVA,  765/400  kV  &  3x500  MVA, \n400/220 kV pooling station at Bhadla-III']",,,,,,,,,,,,,,,,
42,43,"['4.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part C1', 'Establishment  of  2x1500  MVA,  765/400  kV  &  2x500  MVA, \n400/220 kV pooling station at Ramgarh']",,,,,,,,,,,,,,,,
42,43,"['5.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part D', 'Sikar-II – Khetri 765 kV D/c line']",,,,,,,,,,,,,,,,
42,43,"['6.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part F', 'Establishment  of  2x1500  MVA,  765/400  kV  Substation  at \nsuitable location near Beawar']",,,,,,,,,,,,,,,,
42,43,"['7.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part G', 'Fatehgarh-III – Beawar 765 kV D/c (2nd) line along with 330 \nMVAr Switchable line reactor for each circuit at each end of \nFatehgarh-III–Beawar 765 kV D/c line']",,,,,,,,,,,,,,,,
43,44,"['8.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase III - Part H', 'Establishment  of  2x1500  MVA,  765/400  kV  substation  at \nsuitable location near Dausa']",,,,,,,,,,,,,,,,
43,44,"['9.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20 GW) under Phase-III Part E1', 'Establishment  of  3x1500  MVA  765/400  kV  &  3x500  MVA \n400/220 kV pooling station at Fatehgarh-III (new section)']",,,,,,,,,,,,,,,,
43,44,"['10.', 'Transmission system for evacuation of power from \nREZ in Rajasthan (20GW) under Phase-III Part J', 'Augmentation  by  1x500  MVA,  400/220  kV  ICT  (10th  )  at \nFatehgarh-II PS']",,,,,,,,,,,,,,,,
