s_no,region,state,substation,voltage_level_kv,existing_mva,under_implementation_mva,planned_mva
1,WR,Gujarat,Jam Khambhaliya PS,220.0,2000.0,,
2,WR,Gujarat,Bhuj PS,400.0,6000.0,,
2,WR,Gujarat,Bhuj PS,220.0,4000.0,,
3,WR,Gujarat,Bhuj-II PS,400.0,1500.0,1500.0,
3,WR,Gujarat,Bhuj-II PS,220.0,2000.0,,
4,WR,,Bhachau S/s,220.0,630.0,,
6,WR,Gujarat,Khavda PS-II,400.0,,3000.0,
7,WR,,Banaskantha PS [GIS],220.0,1000.0,,
8,WR,"Madhya 
Pradesh",Rajgarh S/s,220.0,630.0,,500.0
9,WR,"Madhya 
Pradesh",Indore S/s,220.0,4500.0,,
10,WR,Madhya Pradesh,Pachora PS,220.0,,1500.0,
11,WR,Madhya Pradesh,Neemuch PS,220.0,,1000.0,
12,WR,,Khandwa S/s (existing S/s),220.0,1130.0,,
13,WR,,Raipur S/s (Existing S/s),220.0,945.0,,
15,WR,Maharashtra,Solapur (existing S/s),400.0,3000.0,,
15,WR,Maharashtra,Solapur (existing S/s),220.0,630.0,,
15,WR,Maharashtra,Solapur (existing S/s),220.0,500.0,,
16,SR,Tamil Nadu,Tuticorin-II S/s,230.0,1500.0,1000.0,
17,SR,"Tamil 
Nadu",Pugalur S/s,230.0,1130.0,,
18,SR,,"Palakkad S/s 10°46'22""N 76°45'36""E",220.0,630.0,500.0,
19,SR,Andhra Pradesh,NP Kunta S/s,220.0,2000.0,,
21,SR,Karnataka,Hiriyur S/s,220.0,630.0,500.0,
22,SR,Andhra Pradesh,Kurnool S/s,400.0,3000.0,,
23,SR,Karnataka,Koppal S/s,220.0,,2500.0,
24,SR,Tamil Nadu,Karur S/s,230.0,,2500.0,
25,SR,Karnataka,Gadag S/s,220.0,,2500.0,
27,SR,Karnataka,Gadag-II PS,220.0,,,2000.0
29,NR,Rajasthan,Bikaner S/s,400.0,3000.0,1500.0,1500.0
29,NR,Rajasthan,Bikaner S/s,220.0,1000.0,500.0,
30,NR,Rajasthan,Fatehgarh PS,,,,
31,NR,Rajasthan,Bhadla- II PS,400.0,3000.0,3000.0,1500.0
31,NR,Rajasthan,Bhadla- II PS,220.0,1500.0,2500.0,
32,NR,Rajasthan,Fatehgarh-II PS,400.0,6000.0,3000.0,
32,NR,Rajasthan,Fatehgarh-II PS,220.0,2500.0,2000.0,1000.0
34,NR,Rajasthan,Bikaner-II PS,220.0,,1000.0,2500.0
35,NR,Rajasthan,Fatehgarh-IV PS,220.0,,,2500.0
36,NR,Rajasthan,Bhadla- III PS,400.0,,,3000.0
36,NR,Rajasthan,Bhadla- III PS,220.0,,,5000.0
37,NR,Rajasthan,Ramgarh PS,400.0,,,4500.0
37,NR,Rajasthan,Ramgarh PS,220.0,,,1000.0
38,NR,Rajasthan,Bikaner- III PS,400.0,,,9000.0
38,NR,Rajasthan,Bikaner- III PS,220.0,,,2500.0
