0,1,2,3
State,District,Potential (GW),
,,Wind,Solar
"Rajasthan  
(75 GW)","Sanchore, Sirohi, Jalor, Pali, Ajmer, Bikaner, Nagaur",,30
,"Barmer, Jaisalmer, Jodhpur (GIB Zone)",15,30
"Andhra Pradesh  
(51 GW)",Anantapur,10,10
,Kurnool,8,8
,Kurnool,,7
,Kadapa,,8
"Karnataka  
(17 GW)",Koppal,2,2
,Gadag,2,2
,Davangere/Chitradurga,2,2
,Bijapur,2,
,Bellary,,1.5
,Tumkur,,1.5
Tamil Nadu (5 GW),off-shore,5,
"Telangana  
(13 GW)",Rangareddy,1,2.5
,Medak,1,2.5
,Nizamabad,1,2.5
,Karimnagar,,2.5
"Madhya Pradesh  
(8 GW)",Neemuch,2,
,Morena,,3.9
,Sagar,,1.5
,Khandwa,,0.6
Gujarat (5 GW),off-shore,5,
"Maharashtra  
(7.5 GW)",Dhule,1,1
,Osmanabad & Parli,1,1
,Sholapur,,1
,Location to be firmed up,,2.5
Total,,58,123.5
