0,1,2
Sl. No.,Transmission scheme,Broad Transmission System
1.,"Transmission  system  for  evacuation  of  power  from 
RE  projects  in  Rajgarh  (2500  MW)  SEZ  in  Madhya 
Pradesh - Phase-I: 1500","Establishment of 400/220 kV, 3x500 MVA  Pachora SEZ PP"
,,"Pachora  SEZ  PP  -Bhopal  (Sterlite)  400  kV  D/c  line  (Quad/
HTLS)  along  with  80MVAr  switchable  line  reactors  on  each 
circuit at Pachora end"
2.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part A","Establishment of 400/220 kV, 4x500 MVA  Fatehgarh-III PS"
,,Fatehgarh-III PS – Fatehgarh-II PS 400 kV D/c line
,,"Fatehgarh-III PS – Jaisalmer-II (RVPN) 400 kV D/c line (Twin 
HTLS)"
3.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part A1","Augmentation  by  765/400  kV,  1500  MVA 
ICT 
(5th)  at 
Fatehgarh-II PS"
4.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part B",Fatehgarh-II PS – Bhadla-II PS 765 kV D/c line (2nd)
,,"1x240 MVAr Switchable line reactor for each circuit at each 
end of Fatehgarh-II – Bhadla-II 765 kV D/c line (2nd)"
5.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part B1","Augmentation  by  765/400  kV,  1500  MVA 
ICT 
(6th)  at 
Fatehgarh-II PS"
,,"Augmentation by 400/220 kV, 4x500 MVA ICT (6th to 9th) at 
Fatehgarh-II PS with suitable Bus sectionalisation at 400 and 
220 kV level."
,,"Augmentation by 400/220 kV, 3x500 MVA ICT (6th to 8th) at 
Bhadla-II PS with suitable Bus sectionalisation at 400 and 220 
kV level."
,,"Augmentation 
by 
765/400 
kV, 
1x1500 
MVA  
ICT (4th) at Bhadla-II PS."
,,"±  2x300  MVAr,  4x125  MVAr  MSC,  2x125  MVAr  MSR 
STATCOM at Fatehgarh-II S/s"
,,"±  2x300  MVAr,  4x125  MVAr  MSC,  2x125  MVAr  MSR 
STATCOM at Bhadla-II S/s"
6.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part C","Establishment of 765/400 kV, 2x1500 MVA  Sikar – II"
,,Bhadla-II PS – Sikar-II 765 kV D/c line
,,"1x330 MVAr switchable line reactor for each circuit at Sikar-II 
end of Bhadla-II PS – Sikar-II 765 kV D/c line"
,,"1x240MVAr switchable line reactor for each circuit at Bhadla-
II end of Bhadla-II PS – Sikar-II 765 kV D/c line"
,,Sikar-II – Neemrana 400 kV D/c line
7.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part D","Sikar-II  –  Aligarh  765  kV  D/c  line  along  with  1x330  MVAr 
switchable line reactor for each circuit at each end of Sikar-II 
– Aligarh 765 kV D/c line"
8.,"Transmission  Scheme  for  evacuation  of  power  from 
Solar  Energy  Zones  (SEZs)  in  Rajasthan  (8.1  GW) 
under Phase-II-Part F",Establishment of 400 kV Switching Station at Bikaner –II PS
