Opening Connectivity_Application_Data_TEST_ALL_SHEETS36.xlsx...
--- Verifying 'Element Status' Columns 3, 4, 5 ---
Row  | Col 3 (Inter/Intra)            | Col 4 (Scheme)                 | Col 5 (Scope)                           
--------------------------------------------------------------------------------------------------------------
4    | Rajasthan phase-II             | Rajasthan phase-II Part G      | Khetri-Narela 765kV D/C Line            
5    | Rajasthan phase-II             | Rajasthan phase-II Part G      | LILO of 765kV S/c Meerut – Bhiwani lin  
6    | Rajasthan phase-II             | Rajasthan phase-II Part G      | 3x1500MVA ,765/400kV GIS substation at  
7    | Rajasthan Phase-II             | Rajasthan Phase-II Part E      | Bhadla II - Sikar II 765 kV D/C line (  
8    | Khavda Phase II                | Khavda Phase II Part B         | 765kV D/C Lakadia PS-Ahmedabad Line     
9    | Khavda Phase II                | Khavda Phase II Part C         | 765kV D/C Ahemdabad- New Navsari (Sout  
10   | Khavda Phase II                | Khavda Phase II Part C         | 765/400kV 3x1500MVA Ahmedabad New S/s   
11   | Khavda                         | Khavda                         | 765/400kV 4x1500MVA KPS2 New SS (GIS)   
12   | Andhra                         | Andhra                         | 7x500 MVA , 400/220 KV Ananthpuram S/s  
13   | Andhra                         | Andhra                         | Ananthpuram PS-Kurnool-III PS 400 kV (  
14   | Andhra                         | Andhra                         | Ananthpuram PS-Cuddapah-400kV (Quad mo  
